               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.054828,            0.047279,            0.033947,             0.17312,             0.14748,             0.12307,            0.051184,            0.056832,            0.017617,            0.034946,           0.0081784,           0.0081784,           0.0081784
                  48,            0.056983,            0.049724,            0.033314,             0.17445,             0.16517,              0.1248,            0.050519,            0.055163,            0.017548,            0.036743,           0.0081388,           0.0081388,           0.0081388
                  49,            0.055551,            0.050314,             0.03358,             0.13132,             0.11757,             0.10055,            0.042587,             0.05668,            0.018735,            0.038074,           0.0080992,           0.0080992,           0.0080992
                  50,             0.05513,            0.047753,            0.033121,             0.28089,             0.14697,             0.15322,            0.058314,            0.055731,            0.017449,            0.035427,           0.0080596,           0.0080596,           0.0080596
                  51,            0.053994,            0.047348,            0.034516,              0.1186,             0.10825,            0.063298,            0.020882,            0.055257,            0.017638,            0.036263,             0.00802,             0.00802,             0.00802
                  52,              0.0552,            0.048971,             0.03196,             0.20979,             0.17381,             0.15841,            0.060358,            0.056556,            0.017602,            0.037304,           0.0079804,           0.0079804,           0.0079804
                  53,            0.054977,            0.046414,            0.031755,              0.2664,             0.16755,             0.15889,            0.060545,            0.055153,            0.017728,            0.034988,           0.0079408,           0.0079408,           0.0079408
                  54,            0.053865,            0.046977,             0.03121,             0.17469,             0.15417,              0.1142,            0.042296,            0.055648,            0.017942,            0.039333,           0.0079012,           0.0079012,           0.0079012
                  55,            0.053928,            0.045592,            0.032307,             0.14963,             0.17664,            0.079425,             0.03051,            0.057275,             0.01771,            0.036736,           0.0078616,           0.0078616,           0.0078616
                  56,            0.054305,            0.047948,            0.030699,             0.21776,             0.19691,              0.1713,            0.061028,            0.054353,             0.01749,            0.036346,            0.007822,            0.007822,            0.007822
                  57,            0.053066,            0.047565,            0.029674,             0.23993,             0.17994,             0.13549,            0.048416,            0.056181,            0.016678,            0.042156,           0.0077824,           0.0077824,           0.0077824
                  58,            0.053446,            0.046851,            0.029101,             0.25289,             0.17711,             0.16019,            0.073307,            0.055279,            0.017628,            0.035175,           0.0077428,           0.0077428,           0.0077428
                  59,            0.052994,            0.046551,            0.030169,              0.2069,             0.17702,             0.11912,            0.054864,            0.055738,            0.017097,            0.040184,           0.0077032,           0.0077032,           0.0077032
                  60,            0.052299,            0.048479,            0.029314,             0.19386,             0.16032,               0.145,            0.062191,            0.058146,            0.017893,            0.036396,           0.0076636,           0.0076636,           0.0076636
                  61,             0.05342,            0.047354,            0.029324,             0.12906,             0.12574,            0.084954,            0.032445,             0.05847,            0.018072,            0.037666,            0.007624,            0.007624,            0.007624
                  62,            0.052452,            0.046152,            0.028887,             0.24921,             0.18035,             0.15211,            0.062152,            0.057446,            0.017179,             0.03582,           0.0075844,           0.0075844,           0.0075844
                  63,            0.052073,            0.045296,            0.027534,             0.33063,             0.15134,             0.10066,            0.038418,            0.054581,            0.018158,             0.04232,           0.0075448,           0.0075448,           0.0075448
                  64,            0.052472,            0.047146,            0.029244,             0.14628,             0.19259,             0.13047,            0.055796,            0.053818,            0.018143,            0.035007,           0.0075052,           0.0075052,           0.0075052
                  65,            0.050688,            0.046944,            0.027015,             0.17133,             0.17132,             0.15529,            0.072745,            0.054271,            0.017701,            0.036709,           0.0074656,           0.0074656,           0.0074656
                  66,            0.051266,            0.047321,            0.028485,             0.15947,             0.17297,             0.12094,             0.05393,            0.056405,            0.017264,            0.040005,            0.007426,            0.007426,            0.007426
                  67,            0.051327,            0.046222,            0.027191,             0.15433,             0.18437,             0.11453,            0.044589,            0.057409,            0.017466,            0.037338,           0.0073864,           0.0073864,           0.0073864
                  68,            0.051138,            0.045967,            0.026664,             0.15321,             0.14871,             0.11619,            0.056451,            0.055097,              0.0178,            0.039227,           0.0073468,           0.0073468,           0.0073468
                  69,             0.04939,            0.045296,             0.02579,             0.29429,             0.16765,             0.17034,            0.075847,            0.056505,            0.017065,            0.037815,           0.0073072,           0.0073072,           0.0073072
                  70,            0.050659,            0.044675,            0.024981,             0.34046,             0.18905,             0.20886,            0.091367,            0.055398,            0.016694,            0.036953,           0.0072676,           0.0072676,           0.0072676
                  71,            0.050107,            0.045322,            0.022985,             0.26266,              0.1876,             0.16203,            0.074871,            0.054489,            0.017429,            0.037827,            0.007228,            0.007228,            0.007228
                  72,            0.051052,            0.045311,            0.025065,             0.41313,              0.2308,             0.22699,            0.099323,            0.056244,            0.016825,            0.036186,           0.0071884,           0.0071884,           0.0071884
                  73,            0.050845,             0.04484,            0.024468,             0.32417,             0.18403,             0.17719,            0.084451,            0.055149,            0.017445,            0.038212,           0.0071488,           0.0071488,           0.0071488
                  74,            0.050455,            0.044121,            0.023673,             0.34575,             0.17342,             0.17207,            0.081162,            0.054759,            0.017168,             0.03933,           0.0071092,           0.0071092,           0.0071092
                  75,            0.049809,            0.044087,             0.02572,              0.1886,             0.14684,             0.11775,             0.04704,            0.054997,            0.017848,            0.043461,           0.0070696,           0.0070696,           0.0070696
                  76,            0.049059,            0.043801,            0.024426,             0.35896,             0.15608,             0.13391,            0.063391,            0.054464,            0.018366,            0.037678,             0.00703,             0.00703,             0.00703
                  77,            0.049481,            0.043027,             0.02412,             0.21638,             0.20532,             0.11575,            0.050275,            0.056125,            0.017951,            0.033859,           0.0069904,           0.0069904,           0.0069904
                  78,            0.049808,            0.044277,            0.024264,             0.21024,             0.18336,             0.14779,              0.0636,            0.053331,            0.017727,            0.041409,           0.0069508,           0.0069508,           0.0069508
                  79,            0.048502,            0.044732,               0.024,             0.34695,              0.1873,             0.20781,             0.08597,            0.053739,            0.017245,            0.034645,           0.0069112,           0.0069112,           0.0069112
                  80,            0.048839,            0.044216,            0.022447,             0.19585,             0.18231,             0.13166,            0.058211,            0.054027,            0.018026,             0.03706,           0.0068716,           0.0068716,           0.0068716
                  81,            0.049227,            0.042566,            0.023863,             0.27584,             0.19224,             0.20812,            0.096584,              0.0528,            0.016881,            0.037289,            0.006832,            0.006832,            0.006832
                  82,            0.049133,            0.043021,            0.023268,             0.25584,             0.17823,             0.16532,             0.07823,             0.05472,            0.017139,            0.039074,           0.0067924,           0.0067924,           0.0067924
                  83,            0.047869,            0.043006,            0.021305,             0.37843,             0.22703,             0.22483,             0.10218,            0.051091,            0.017281,            0.038998,           0.0067528,           0.0067528,           0.0067528
                  84,            0.047698,            0.043434,            0.020507,             0.24163,             0.19943,             0.13453,              0.0573,            0.051754,            0.017582,            0.037663,           0.0067132,           0.0067132,           0.0067132
                  85,            0.046352,            0.043078,            0.019951,              0.2239,              0.2109,             0.14467,            0.065425,            0.051071,             0.01725,            0.038548,           0.0066736,           0.0066736,           0.0066736
                  86,            0.047475,            0.042741,            0.022781,             0.19753,             0.22704,             0.16296,            0.080326,            0.054158,            0.017246,            0.035725,            0.006634,            0.006634,            0.006634
                  87,            0.047374,            0.042921,            0.020762,             0.37429,             0.19046,             0.15707,            0.069991,            0.052144,            0.017529,            0.036808,           0.0065944,           0.0065944,           0.0065944
                  88,            0.047374,            0.043219,            0.020909,             0.30551,             0.16981,             0.15512,            0.068353,            0.051913,             0.01836,            0.035252,           0.0065548,           0.0065548,           0.0065548
                  89,             0.04753,            0.044626,             0.02068,             0.37419,             0.22796,             0.22137,             0.10352,            0.056312,            0.017159,            0.035942,           0.0065152,           0.0065152,           0.0065152
