               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.053438,             0.04648,            0.026495,             0.39447,             0.14118,             0.15043,            0.072714,            0.055077,            0.017637,            0.042324,           0.0077824,           0.0077824,           0.0077824
                  58,            0.054225,            0.046031,            0.026258,             0.21172,             0.18871,             0.12933,            0.054938,            0.056159,            0.017218,            0.035286,           0.0077428,           0.0077428,           0.0077428
                  59,            0.053142,            0.045593,             0.02617,             0.17437,             0.15577,             0.12137,            0.051944,            0.055284,            0.017653,            0.038204,           0.0077032,           0.0077032,           0.0077032
                  60,            0.052966,             0.04779,             0.02576,              0.2563,             0.20499,              0.1501,             0.06821,            0.057393,            0.017558,            0.040257,           0.0076636,           0.0076636,           0.0076636
                  61,            0.053325,            0.046786,            0.025349,             0.32804,             0.16558,             0.15865,            0.066206,            0.055115,            0.017443,            0.038601,            0.007624,            0.007624,            0.007624
                  62,            0.052277,            0.045625,            0.026854,             0.31789,             0.13728,             0.14294,            0.071369,            0.057084,            0.017147,            0.038773,           0.0075844,           0.0075844,           0.0075844
                  63,            0.051967,             0.04492,            0.024615,             0.32629,              0.1636,             0.14532,            0.062471,            0.056813,            0.016895,             0.04039,           0.0075448,           0.0075448,           0.0075448
                  64,            0.052406,            0.046158,            0.025513,             0.22898,             0.18195,             0.13371,            0.054375,            0.055051,            0.017603,            0.039158,           0.0075052,           0.0075052,           0.0075052
                  65,            0.051075,            0.046454,            0.024584,             0.32795,             0.21712,             0.16263,            0.067438,            0.055444,            0.017667,            0.039734,           0.0074656,           0.0074656,           0.0074656
                  66,            0.051462,            0.046657,            0.024966,             0.16137,             0.17937,            0.081749,            0.031748,            0.056352,            0.018632,            0.046669,            0.007426,            0.007426,            0.007426
                  67,             0.05186,            0.045603,            0.024632,             0.16327,             0.13366,             0.10024,            0.044092,            0.057343,            0.017709,            0.040474,           0.0073864,           0.0073864,           0.0073864
                  68,             0.05151,            0.045726,            0.023658,             0.20725,             0.17555,             0.11878,            0.049247,            0.057009,            0.017325,            0.038097,           0.0073468,           0.0073468,           0.0073468
                  69,            0.049907,            0.044752,            0.022714,             0.21542,             0.19716,             0.12456,            0.054374,            0.056595,            0.017412,            0.034561,           0.0073072,           0.0073072,           0.0073072
                  70,            0.051509,            0.043969,            0.021736,              0.2437,             0.16605,             0.10724,            0.045005,            0.054661,            0.017579,            0.037991,           0.0072676,           0.0072676,           0.0072676
                  71,            0.050911,            0.044808,            0.021116,             0.18671,             0.17627,             0.15655,            0.066577,            0.054803,            0.017429,            0.037102,            0.007228,            0.007228,            0.007228
                  72,            0.051927,            0.044701,             0.02321,              0.2362,             0.14802,             0.15734,            0.077654,            0.055504,            0.018124,            0.037968,           0.0071884,           0.0071884,           0.0071884
                  73,            0.051317,            0.044503,             0.02249,             0.27367,             0.17654,             0.17806,            0.070439,            0.057564,            0.017331,              0.0383,           0.0071488,           0.0071488,           0.0071488
                  74,            0.051234,            0.043652,            0.021157,             0.20336,             0.21511,             0.12244,            0.057966,            0.054524,            0.017969,            0.040363,           0.0071092,           0.0071092,           0.0071092
                  75,            0.050165,            0.043922,            0.022342,              0.3157,              0.2182,             0.15373,             0.06613,            0.056401,            0.017719,             0.03772,           0.0070696,           0.0070696,           0.0070696
                  76,            0.050126,            0.043627,            0.022652,             0.21118,             0.17622,             0.11919,            0.056101,            0.054152,            0.017471,            0.035873,             0.00703,             0.00703,             0.00703
                  77,            0.050202,            0.043159,            0.021784,             0.45662,              0.1435,              0.1482,            0.075294,            0.054317,            0.017776,            0.040249,           0.0069904,           0.0069904,           0.0069904
                  78,            0.050203,            0.043913,            0.022232,             0.32259,             0.18345,             0.19344,             0.08982,            0.053802,             0.01786,             0.03466,           0.0069508,           0.0069508,           0.0069508
                  79,            0.049632,            0.044469,            0.020928,             0.20019,             0.21301,             0.13264,            0.050528,             0.05212,            0.017674,            0.032833,           0.0069112,           0.0069112,           0.0069112
                  80,            0.049892,            0.043812,            0.020006,             0.17825,             0.16436,             0.13556,            0.061921,            0.053113,            0.018417,             0.03857,           0.0068716,           0.0068716,           0.0068716
                  81,            0.050289,            0.042488,            0.021667,              0.2406,             0.20547,             0.15651,            0.066798,            0.054593,            0.017837,            0.035358,            0.006832,            0.006832,            0.006832
                  82,            0.049747,            0.043321,            0.021351,             0.33995,             0.12994,             0.13485,            0.066065,            0.054468,            0.017781,            0.041653,           0.0067924,           0.0067924,           0.0067924
                  83,            0.049057,            0.042921,            0.019078,             0.33064,             0.16585,             0.12579,             0.05793,            0.053926,            0.017853,            0.040634,           0.0067528,           0.0067528,           0.0067528
                  84,            0.048936,            0.043205,            0.018752,             0.35586,             0.18202,             0.19074,            0.083388,            0.052273,            0.017957,            0.039207,           0.0067132,           0.0067132,           0.0067132
                  85,            0.047259,            0.042894,             0.01797,             0.44552,             0.12874,             0.14433,            0.076781,            0.055951,             0.01746,            0.039886,           0.0066736,           0.0066736,           0.0066736
                  86,            0.048043,             0.04297,            0.020961,             0.20579,             0.18007,             0.13222,            0.063618,             0.05553,            0.018281,            0.043819,            0.006634,            0.006634,            0.006634
                  87,            0.047992,            0.042704,            0.018724,             0.19837,             0.17602,             0.11266,            0.050412,            0.054627,            0.017747,             0.03867,           0.0065944,           0.0065944,           0.0065944
                  88,             0.04826,            0.043457,            0.019135,             0.33768,             0.22855,             0.18266,            0.086416,            0.054011,            0.017676,            0.036633,           0.0065548,           0.0065548,           0.0065548
                  89,            0.048723,            0.044971,            0.019382,             0.21933,             0.24269,             0.14752,            0.069367,            0.055556,            0.017858,            0.038403,           0.0065152,           0.0065152,           0.0065152
                  90,            0.048282,            0.042815,            0.018318,             0.30996,             0.21855,             0.20155,            0.089679,            0.053779,            0.017835,            0.036049,           0.0064756,           0.0064756,           0.0064756
                  91,            0.047548,            0.041944,             0.01852,              0.5284,             0.19947,             0.21524,            0.095256,            0.055832,            0.017691,            0.038311,            0.006436,            0.006436,            0.006436
                  92,            0.047378,            0.040029,            0.018721,             0.27799,             0.20462,             0.17981,            0.089261,            0.053784,            0.017948,            0.038082,           0.0063964,           0.0063964,           0.0063964
                  93,            0.047429,            0.042746,            0.017211,             0.34197,             0.16691,             0.13371,            0.055726,            0.052836,            0.017655,            0.039795,           0.0063568,           0.0063568,           0.0063568
                  94,            0.047757,            0.042496,            0.017017,             0.36279,             0.19527,             0.18673,            0.094076,            0.053493,            0.017973,            0.041527,           0.0063172,           0.0063172,           0.0063172
                  95,            0.047227,            0.041675,            0.016821,             0.27432,             0.20194,             0.16176,            0.084953,             0.05346,            0.017702,            0.045254,           0.0062776,           0.0062776,           0.0062776
                  96,            0.047017,            0.043346,            0.017184,             0.38445,             0.23269,              0.2243,              0.1062,            0.052182,            0.017805,            0.038029,            0.006238,            0.006238,            0.006238
